Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c
CapEQ5mat1mut,247.6,250,240,3.025814858109391,55,21,226.6,2.98,7,1,0.2474761492436078
CapEQ5mat2mut,248.4,250,247,1.2649110640673518,55,19.4,229.0,2.792,9,1,0.23836479978758984
CapEQ5mat3mut,245.7,250,233,5.4984846397287805,55,16.5,229.2,2.7479999999999998,7,1,0.2166820507358907
CapEQ5mat4mut,245.8,250,241,2.936362072739365,55,17.9,227.9,2.776,8,1,0.24309120373500426
CapEQ5mat5mut,247.5,250,244,2.273030282830976,55,14.2,233.3,2.596,6,1,0.2567835231820332
CapEQ10mat1mut,245.0,250,239,3.858612300930075,55,12.5,232.5,2.316,6,1,0.23205363364724296
CapEQ10mat2mut,247.3,250,242,2.496664441476534,55,11,236.3,2.3,7,1,0.23342855200015455
CapEQ10mat3mut,245.4,250,242,2.8751811537130436,55,9.4,236.0,2.3200000000000003,7,1,0.2501555071905828
CapEQ10mat4mut,245.8,250,235,4.442221666388715,55,7.3,238.5,2.2119999999999997,5,1,0.10507140429250945
CapEQ10mat5mut,246.8,250,241,3.0477678535099897,55,8,238.8,2.2600000000000002,5,1,0.19977765418362262
CapEQ15mat1mut,246.0,250,236,3.972125095937662,55,11.6,234.4,2.08,5,1,0.26932013168965546
CapEQ15mat2mut,244.0,250,231,6.2182527020592095,55,9.2,234.8,2.18,8,1,0.14996295838935988
CapEQ15mat3mut,243.8,250,229,6.972963661329537,55,8.6,235.2,2.024,4,1,0.13091133555875814
CapEQ15mat4mut,243.2,250,231,6.0699624747146865,55,7.1,236.1,2.024,4,1,0.17404980130219438
CapEQ15mat5mut,244.3,250,224,7.689097620801951,55,6.9,237.4,1.988,5,1,0.1448984318602363
CapEQ20mat1mut,243.6,248,236,4.1952353926806065,55,7.6,236.0,1.92,4,1,0.09614803401237305
CapEQ20mat2mut,240.1,250,207,14.654919538048194,55,6.8,233.3,1.908,5,1,0.2444404040070117
CapEQ20mat3mut,246.1,250,242,2.64365067451978,55,6.1,240.0,1.892,4,1,0.09052930771609574
CapEQ20mat4mut,241.7,250,225,7.94494947889678,55,5.7,236.0,1.776,4,1,0.16674664747587714
CapEQ20mat5mut,247.0,250,242,2.449489742783178,55,5,242.0,1.84,3,1,0.07302967433402213
CapEQ25mat1mut,240.7,249,223,7.211872926716826,55,7.6,233.1,1.888,4,1,0.14942854107863365
CapEQ25mat2mut,242.6,250,231,7.3363630105265525,55,7.8,234.8,1.812,4,1,0.14972567507871778
CapEQ25mat3mut,242.5,250,232,5.778311941119905,55,5.9,236.6,1.812,4,1,0.12795832654944084
CapEQ25mat4mut,243.3,250,222,8.300602387778854,55,6.1,237.2,1.764,4,1,0.11992590304943392
CapEQ25mat5mut,242.5,250,218,9.324400487132909,55,5,237.5,1.732,4,1,0.11477514248883919
CapEQ30mat1mut,243.8,250,228,6.62989860824097,55,8.3,235.5,1.832,5,1,0.17466157753400338
CapEQ30mat2mut,245.7,250,226,7.601900347208511,55,6,239.7,1.772,5,1,0.1461201940565065
CapEQ30mat3mut,238.0,249,192,17.378147196982766,55,5.7,232.3,1.708,4,1,0.11321562514855346
