Setting,Average_h,Max_h,Min_h,Stdev_h,Final_h,Original_h,New_h,Avg_c,Max_c,Min_c,Stdev_c,Max_a,Min_a,Avg_a,Max_b,Min_b,Avg_b
CapEQ5mat1mut,247.6,250,240,3.025814858109391,95211.7,21,226.6,2.98,7,1,0.2474761492436078,9,1,2.7873015571333326,10,1,2.7658442185737444
CapEQ5mat2mut,248.4,250,247,1.2649110640673518,194414.8,19.4,229.0,2.792,9,1,0.23836479978758984,8,1,2.718222831406598,22,1,2.7483528673398046
CapEQ5mat3mut,245.7,250,233,5.4984846397287805,294726.3,16.5,229.2,2.7479999999999998,7,1,0.2166820507358907,4,1,2.798613076674999,0,1,2.7213998977778817
CapEQ5mat4mut,245.8,250,241,2.936362072739365,392002.3,17.9,227.9,2.776,8,1,0.24309120373500426,6,1,2.7484643035795866,23,1,2.7920262843372443
CapEQ5mat5mut,247.5,250,244,2.273030282830976,500536.6,14.2,233.3,2.596,6,1,0.2567835231820332,19,1,2.805826751096547,18,1,2.775731493270698
CapEQ10mat1mut,245.0,250,239,3.858612300930075,103254.5,12.5,232.5,2.316,6,1,0.23205363364724296,22,1,2.6712352731219586,22,1,2.7402866642447505
CapEQ10mat2mut,247.3,250,242,2.496664441476534,206426.3,11,236.3,2.3,7,1,0.23342855200015455,13,1,2.6697774050365597,18,1,2.8580969644585514
CapEQ10mat3mut,245.4,250,242,2.8751811537130436,307457.7,9.4,236.0,2.3200000000000003,7,1,0.2501555071905828,19,1,2.7317102220006944,25,1,2.716364879666124
CapEQ10mat4mut,245.8,250,235,4.442221666388715,415381.6,7.3,238.5,2.2119999999999997,5,1,0.10507140429250945,6,1,2.710012773091052,7,1,2.693636487510784
CapEQ10mat5mut,246.8,250,241,3.0477678535099897,515357.2,8,238.8,2.2600000000000002,5,1,0.19977765418362262,19,1,2.7858562371088333,21,1,2.748014390299687
CapEQ15mat1mut,246.0,250,236,3.972125095937662,106018.4,11.6,234.4,2.08,5,1,0.26932013168965546,13,1,2.6595447648107897,10,1,2.6759365533543655
CapEQ15mat2mut,244.0,250,231,6.2182527020592095,211145.4,9.2,234.8,2.18,8,1,0.14996295838935988,26,1,2.811066763009416,19,1,2.6781529455078337
